"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Belize","BLZ","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","3770000","4710000","10480000","11670000","11384746.5","7787565.9","3312997.4","421107.4","0","","","","","","","","24560043.1","23314603.8","22488247.1","24327597.6","26590326.1","27789957","25575721.8","26920117.2","28277396.5","27561984.1","35420787.6","34795830.5","34688281.9","32017507","28462657.3","25924917.1","24796263","24055472.5","25483458","24886824.3","24744281","25772163.9","60861338","",
"Bermuda","BMU","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","6080000","7165620","8555316","21775520","17533408","16307851","0","0","39521437.4","39962522.9","126338992.8","113287629.6","125987354.5","127106665.1","96096129.1","82211849.9","192346754.4","185706850","209010086.9","251790427.7","257044786.1","244796647.4","249077125","220509941.1","263552551.5","267762932.2","276121398.6","248140560","264183043","283651143.6","254673303.1","240714064.2","231620062.9","318333409.2","348459724.7","281990683.2","54704497.2","42197415.8","41129829.8","257306771.9","252766904.2","251985639.9","252256438.2","252761843.7","237793817.7","227441345.5","220646516","233744575.8","228272011","226964545.7","582201162.3","551798268.1","",
"Brazil","BRA","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","550200000","2644300000","4185370000","4619300000","4501170000","3976342252.8","3333055328.3","2422469977.6","1820549548.8","1237526548.8","799423625","303585594.1","186130869.1","141553984.3","67607128.7","31448318","4825009156.9","9318882826.6","2235037872.2","8787813968.2","21314976011.2","28850328959.5","25586391068.6","512636270.9","539583148","566788267.5","552448640.9","4526043027.6","4446186455.1","4432443964.7","4437207324.3","4446097441.9","4182813115.7","4000712265.5","3881190647.8","4111586613.7","4015323741.5","3992325318","4158167402.4","18853002058.8","",
"Barbados","BRB","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8220596.2","7803729.9","7527136.6","8142793.4","8900160.8","9301694.4","8560558.4","9010546.6","9464847.3","9225388.6","9389619.7","9223951.2","9195441.3","9205323.3","9223766.5","8676893.3","8299140.4","8051202.9","8529139.9","8329450.7","8281742.4","8625767.8","35748425.8","",
"Botswana","BWA","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5982771","5679384.7","5478086.1","5926147.7","6477343.2","6769570.6","6230187.9","6557679.6","6888309.8","6714036.9","90035722.6","88447150.8","88173774","88268530.6","88445380.1","83207770.2","79585278.6","77207661.6","81790877.3","79875941.4","79418438.9","82717498.5","344914505.8","",
"Central African Republic","CAF","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","3256904","5677895","11141949.7","11649068.9","20412113.7","17873533.4","23540313.6","37686947.8","37713909.4","39964889.1","35075374.2","39009638.8","41788969.6","51942817.3","50283426.2","35327249.1","36656257.5","33300411.7","30377875","28788443","41373607.5","34899812.5","27640467.7","18618300.2","17563766.7","36252105.9","33621592.6","42483757.6","45958573.6","50233215.9","58590408.3","49211195.4","56111111.2","64109162.3","77364681.6","162063184.7","172555835.3","172022491.4","182908929.8","180985416.2","177256948.5","174912456.5","184643967.2","235403692.2","279084580.9","296484719.1","355383363.5","518257001.8","",
"Canada","CAN","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","884059046.9","837842329","324059292.7","303401460.7","339990647.3","1071881716.8","1155346773.4","1012623101.6","907536555.3","469216030.6","0","","","","","","","","325010365.9","308529088","297593664","321934336","351877696","367752768","338451136","356241920","374203200","364735936","10957633395.1","10764299164.7","10731028342.6","10742560523.9","10764083662","10126666125.8","9685796677.3","9396432681.2","9954225477.5","9721171324.7","9665491725.9","10066998408.5","50673914230.1","",
"Cote d'Ivoire","CIV","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","13676548","13076719","27140348.8","16289261.1","31023338.3","28392413.5","64562529.6","430648955.3","535456740.9","670402858.2","636785646.3","665129330","658897981.6","604082451.9","508502350.4","369614070.8","431253771.2","371504141.6","267382500","218578715.8","328102737","426768309.3","502672001.1","449947876.3","643954087.5","671455204.8","598611576.2","511536865.7","542288056.7","481229898.6","370136638.4","252467682.1","206970838.8","233244900","246606468.7","839175295.4","861428341","1090425757","1265163491.4","1417940614.6","1492154720.8","1508308147.7","1494849865.1","1737919425.3","1814028914.6","1914817944.1","3047380511.8","3647029432","",
"Cameroon","CMR","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","5656728","14200591","39374418.7","41166521.9","61578974.9","65763748.3","58755769.5","43912087.8","38330774.4","35176473.1","30088526.2","27403382.2","22181508.8","16056393.9","100434973.8","113242481.4","121078324.6","120562366.7","62781125","16294541.7","43664112.1","51150121.3","72056177","92982211.7","156201219.8","229367825.8","267051729.9","274498234.1","340237010","383479225.6","371406379.3","306983756","44774855.4","55407673.6","62169301.9","452571505.1","444586426.5","441991737.5","440023024.6","437231729.8","406346345.6","357776235","318199294.5","602413053","714177033.9","760370154.8","1268973016.6","1777204255.4","",
"Congo, Dem. Rep.","COD","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","30649311","34056672","34564812","85753775","209872971.2","267638269","321929831.3","357740721.4","373398926.2","474236102.8","543755674.4","621775015.7","674773452.8","807483000.3","855827028.8","966472055.6","785908985.5","628416856.3","521081946.2","472479629.7","454170750","453695093.4","477766554.2","485145744.9","433202714.2","406479090.4","423415751.4","530252755","503350614.5","485509987.5","688337211.7","831661745.7","952113158.8","914412643.5","962479014.4","944635524","787245859.4","1600700624.2","1109863980.1","1258403794.4","1259756147.7","1262280118.2","1187531873.7","1097782692.5","989239968.6","953621644.6","839163299.8","1129700742.7","1510562208.8","3317275326.7","",
"Congo, Rep.","COG","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","11346606.1","21727931.6","28424029.4","22253067.7","14786947.8","13937794.9","12847123.5","10972470.7","9949488.4","19600156.8","19237029.6","15330214.4","11506784.9","10827865.2","5721720.2","5500000","4807459.8","20437899.4","18581125.1","37956393","33507273.5","34160216.6","42348795.2","53979561.3","50928983.3","46394979.5","42546293.1","44144309.3","40331140.8","50095015.6","52620744.8","53151637.1","167577675.4","149648797.7","154753144.9","152389681.4","147853242.7","134017362.5","122821458.3","115577578.7","120028881.4","114865475.6","157171955.8","162308174.3","374192609.3","",
"Colombia","COL","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","54850000","56727825","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","156838089.3","148884828.6","143607793.8","155353709.9","169803277.9","177464005.7","163324112.2","171909292.4","180576747.7","176008193.2","1157462066.7","1137040044","1133525625.1","1134743777","1137017280.3","1069686072.9","1023116757.5","992551057.7","1051471059.5","1026853403.6","1020971932.8","6464390082.4","9024420113.3","",
"Comoros","COM","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","1287387","1237500","1236204","3284662.4","3344602.5","3235410.1","2792947.4","2661176.8","3144969.3","2399178.5","1748614.2","1524565.7","1265154.9","1112576.4","1025358.3","1079256.6","1135251.7","6244870.7","23446658.6","25430797.2","27744145.2","27999887.8","32853084","30907357.6","29202886.2","26566684.3","26051687.5","22316641.5","30741595.5","41921894.3","62872554.4","",
